Tag Name,Description,Area,Loop Type,Unit,Range Low,Range High,Typical SP,Alarm HH,Alarm H,Alarm L,Alarm LL,Control Mode,Controller Output,SP Source,Cascade Master,Fail Position,Interlocks,Summary,On Hold,Page
1520-V-1600,FIN FAN COOLER FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,428
1520-V-1608,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,429
1520-V-1616,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,430
1520-V-1601,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,431
1520-V-1609,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,432
1520-V-1617,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,433
1520-V-1602,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,434
1520-V-1610,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,435
1520-V-1618,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,436
1520-V-1603,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,437
1520-V-1611,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,438
1520-V-1619,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,439
1520-V-1604,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,440
1520-V-1612,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,441
1520-V-1620,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,442
1520-V-1605,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,443
1520-V-1613,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,444
1520-V-1621,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,445
1520-V-1606,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,446
1520-V-1614,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,447
1520-V-1622,FIN FAN COOLERS FAN MOTOR VIBRATION,Drying/Absorbing,Vibration,-,0,1,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,448
